id,comment,like,timestamp
junkai._,隊花🌹,592 ,2022-03-29T06:15:42.000Z
roger900612,對手看到他會真的怕欸,491 ,2022-03-29T06:16:01.000Z
jasper_1003_,說實話 還蠻漂亮的,146 ,2022-03-29T06:18:31.000Z
ctlin.ctlin,你可以再靠近一點點,178 ,2022-03-29T06:16:15.000Z
a_jax113,@1103ling @seruhsu 生活再苦 也要漂漂亮亮,13 ,2022-03-29T06:25:28.000Z
viviwei.y,@mollyliao @marla3021 還是要漂亮啦😂,6 ,2022-03-29T06:15:30.000Z
ohmylip,@hsinchi.chang  @chiang_giannetta,1 ,2022-03-29T07:52:59.000Z
allukazodyckk,@_holly0301 @_pei.yin_ 是誰愛漂亮啊,8 ,2022-03-29T06:25:53.000Z
thth_leecyrus,@jervoiswong @william_mok_1027,0,2022-03-29T06:50:45.000Z
pooooon_001,@__luzongggg @xinyiiiynix,2 ,2022-03-29T06:18:45.000Z
r_eina.1998,@in_dangerrr  @hsu.98,0,2022-03-29T07:57:30.000Z
amancool5566,@tina199219 @adondo7531,0,2022-03-29T07:56:11.000Z
roromin0311,@miya.kuan @yaroro1128 很好笑😂,0,2022-03-29T07:29:12.000Z
cheng__pin,@kf5600432 @_shadow_0805_ @ssuu8559 @qwe0958266206 @sin_hon 找出陳典在哪裡,0,2022-03-29T07:42:12.000Z
sharon_ww1365,@louislut 喂～～～～～,1 ,2022-03-29T07:59:23.000Z
hester_herself,@shiu_1125,1 ,2022-03-29T08:00:53.000Z
tcwei_2021,@jeremytan03 @sabrina_1001m 😢,0,2022-03-29T07:27:16.000Z
round2_willie,@round2_eddie_,0,2022-03-29T08:00:34.000Z
pigyi_0220,@ymingu10,0,2022-03-29T07:18:59.000Z
nian___hua___,@amber.829 氣勢要有漂亮也要在手,0,2022-03-29T07:10:28.000Z
kangj_1999,@henry_1999 反正我先想到你,3 ,2022-03-29T06:25:49.000Z
xza_06,@k_727_g 要吧,0,2022-03-29T07:04:38.000Z
ian.0706,@ula_tusda 阿嘟以定是你,0,2022-03-29T07:33:25.000Z
ccchiu_1207,@lin_ya_0622 next level,2 ,2022-03-29T06:34:58.000Z
youna_1011,@alisha.pan,0,2022-03-29T07:04:14.000Z
lukeeeee27,@chuck_413 為什麼馬上想到你,0,2022-03-29T07:26:29.000Z
siying_1204,@enid.ww,0,2022-03-29T07:02:59.000Z
wang_90_0410_,@avamax_7 海是要美膩,0,2022-03-29T06:34:10.000Z
grace2_10,@just_beautiful_s 就是你！😗,0,2022-03-29T06:39:40.000Z
yusheng0720,@_dan.nnn,2 ,2022-03-29T06:37:29.000Z
xwxexix96,@nd_chuang 說我呢,0,2022-03-29T07:40:48.000Z
jiachunnn_1011,@shannnnku 根本是你,1 ,2022-03-29T06:34:58.000Z
suxx431,@heywinnies,0,2022-03-29T07:20:03.000Z
yu__nian,@yu_hongz,0,2022-03-29T07:35:45.000Z
weeeeei_kai,@90__olivia,0,2022-03-29T06:47:56.000Z
tszshian,@savememydrug 😂,1 ,2022-03-29T07:54:00.000Z
life._.hzh,@zzzhpzzz,0,2022-03-29T07:49:36.000Z
littleyoyowei,@yaju027 還是要漂亮的,0,2022-03-29T07:35:12.000Z
lterencel,@ronaldlgz_,1 ,2022-03-29T06:15:05.000Z
cat79901,@pinghanfitness 我記得卡爾說….要這個動作❤️,0,2022-03-29T06:18:55.000Z
